iter	Passed	Remaining
0	10	5482
1	22	5534
2	33	5485
3	44	5500
4	55	5500
5	66	5495
6	78	5493
7	89	5506
8	100	5493
9	111	5473
10	123	5471
11	134	5470
12	145	5456
13	156	5438
14	167	5415
15	179	5421
16	190	5407
17	204	5463
18	215	5448
19	226	5434
20	237	5419
21	249	5413
22	260	5402
23	271	5386
24	284	5399
25	296	5408
26	299	5240
27	310	5236
28	321	5224
29	333	5217
30	344	5207
31	355	5204
32	368	5210
33	379	5197
34	390	5185
35	401	5174
36	413	5171
37	425	5175
38	436	5163
39	447	5150
40	459	5139
41	470	5125
42	480	5110
43	494	5120
44	505	5106
45	516	5094
46	527	5082
47	538	5072
48	549	5058
49	560	5047
50	572	5043
51	584	5033
52	595	5021
53	607	5021
54	619	5009
55	630	4999
56	641	4986
57	652	4974
58	663	4962
59	675	4951
60	685	4936
61	697	4925
62	708	4913
63	719	4902
64	730	4890
65	741	4878
66	753	4869
67	764	4857
68	775	4845
69	786	4832
70	798	4825
71	809	4813
72	821	4803
73	832	4791
74	843	4778
75	854	4768
76	866	4757
77	876	4744
78	887	4732
79	898	4718
80	909	4705
81	920	4692
82	932	4685
83	943	4671
84	954	4661
85	965	4648
86	976	4636
87	989	4631
88	1000	4620
89	1011	4609
90	1022	4597
91	1033	4585
92	1044	4572
93	1055	4559
94	1066	4548
95	1077	4536
96	1089	4524
97	1100	4515
98	1112	4504
99	1125	4500
100	1136	4490
101	1148	4480
102	1159	4469
103	1170	4457
104	1182	4447
105	1193	4435
106	1204	4423
107	1216	4413
108	1230	4413
109	1241	4402
110	1252	4390
111	1264	4381
112	1276	4370
113	1287	4359
114	1299	4348
115	1309	4336
116	1321	4324
117	1332	4314
118	1344	4304
119	1355	4293
120	1366	4281
121	1381	4280
122	1392	4268
123	1404	4257
124	1415	4245
125	1426	4234
126	1438	4223
127	1449	4212
128	1460	4201
129	1472	4190
130	1484	4180
131	1497	4173
132	1509	4164
133	1520	4153
134	1532	4143
135	1543	4130
136	1554	4118
137	1566	4108
138	1577	4097
139	1588	4085
140	1599	4073
141	1612	4064
142	1623	4052
143	1634	4041
144	1645	4029
145	1657	4019
146	1668	4007
147	1680	3996
148	1690	3983
149	1702	3971
150	1713	3960
151	1724	3948
152	1736	3937
153	1747	3926
154	1758	3914
155	1769	3902
156	1782	3893
157	1793	3882
158	1804	3870
159	1815	3858
160	1827	3847
161	1838	3835
162	1850	3825
163	1861	3814
164	1873	3803
165	1884	3792
166	1896	3781
167	1908	3770
168	1919	3758
169	1930	3747
170	1942	3736
171	1953	3724
172	1964	3713
173	1975	3702
174	1986	3690
175	1998	3679
176	2010	3668
177	2021	3657
178	2033	3646
179	2044	3635
180	2055	3623
181	2066	3611
182	2078	3600
183	2089	3588
184	2100	3577
185	2112	3565
186	2123	3554
187	2134	3542
188	2145	3530
189	2156	3518
190	2168	3508
191	2179	3496
192	2191	3485
193	2202	3473
194	2213	3461
195	2224	3450
196	2235	3438
197	2246	3426
198	2259	3418
199	2272	3408
200	2284	3397
201	2298	3390
202	2309	3378
203	2320	3366
204	2331	3355
205	2342	3343
206	2354	3332
207	2365	3320
208	2376	3308
209	2388	3298
210	2399	3286
211	2410	3275
212	2422	3263
213	2433	3252
214	2447	3244
215	2458	3232
216	2469	3221
217	2481	3210
218	2492	3198
219	2504	3187
220	2516	3176
221	2527	3164
222	2538	3153
223	2550	3142
224	2563	3132
225	2580	3128
226	2591	3117
227	2603	3106
228	2615	3094
229	2629	3086
230	2641	3076
231	2653	3065
232	2665	3054
233	2676	3043
234	2688	3031
235	2700	3020
236	2711	3009
237	2722	2997
238	2734	2985
239	2745	2974
240	2756	2962
241	2768	2951
242	2779	2939
243	2791	2928
244	2802	2916
245	2813	2905
246	2825	2893
247	2836	2882
248	2847	2870
249	2859	2859
250	2871	2848
251	2882	2836
252	2894	2825
253	2906	2814
254	2917	2802
255	2928	2791
256	2939	2779
257	2950	2767
258	2962	2756
259	2973	2744
260	2984	2733
261	2995	2721
262	3006	2709
263	3019	2699
264	3030	2687
265	3041	2675
266	3053	2664
267	3064	2653
268	3075	2641
269	3087	2629
270	3098	2618
271	3110	2606
272	3121	2595
273	3132	2583
274	3144	2573
275	3156	2561
276	3167	2550
277	3181	2540
278	3191	2528
279	3202	2516
280	3215	2505
281	3227	2494
282	3238	2483
283	3249	2471
284	3261	2460
285	3272	2448
286	3284	2437
287	3295	2426
288	3307	2415
289	3319	2403
290	3333	2393
291	3344	2382
292	3356	2371
293	3367	2359
294	3378	2348
295	3389	2336
296	3401	2324
297	3412	2313
298	3424	2302
299	3436	2290
300	3447	2279
301	3458	2267
302	3470	2256
303	3481	2244
304	3492	2233
305	3504	2221
306	3515	2209
307	3526	2198
308	3538	2187
309	3549	2175
310	3560	2163
311	3572	2152
312	3583	2141
313	3595	2129
314	3607	2118
315	3618	2106
316	3629	2095
317	3641	2083
318	3652	2072
319	3664	2061
320	3675	2049
321	3686	2038
322	3698	2026
323	3709	2014
324	3721	2003
325	3732	1992
326	3743	1980
327	3755	1969
328	3766	1957
329	3777	1945
330	3789	1934
331	3800	1923
332	3811	1911
333	3822	1899
334	3833	1888
335	3847	1877
336	3858	1866
337	3869	1854
338	3880	1842
339	3891	1831
340	3904	1820
341	3916	1809
342	3927	1797
343	3938	1786
344	3957	1777
345	3968	1766
346	3980	1754
347	3992	1743
